edinet_code,name,syoken_code,security_code
E00660,大王製紙株式会社,38800,3880
E00664,古林紙工株式会社,39440,3944
E00667,株式会社リヒトラブ,79750,7975
E00668,ダイナパック株式会社,39470,3947
E00669,株式会社トーモク,39460,3946
E00670,コクヨ株式会社,79840,7984
E00674,ザ・パック株式会社,39500,3950
E00675,スーパーバッグ株式会社,39450,3945
E00677,大石産業株式会社,39430,3943
E00678,ユニ・チャーム株式会社,81130,8113
E00679,ナカバヤシ株式会社,79870,7987
E00681,中央紙器工業株式会社,39520,3952
E00682,大村紙業株式会社,39530,3953
E00685,ニッポン高度紙工業株式会社,38910,3891
E00686,昭和パックス株式会社,39540,3954
E00687,株式会社岡山製紙,38920,3892
E00688,株式会社イムラ,39550,3955
E00690,ハビックス株式会社,38950,3895
E00691,特種東海製紙株式会社,37080,3708
E00692,ＴＯＰＰＡＮホールディングス株式会社,79110,7911
E00693,大日本印刷株式会社,79120,7912
E00695,共同印刷株式会社,79140,7914
E00696,光村印刷株式会社,79160,7916
E00703,ＮＩＳＳＨＡ株式会社,79150,7915
E00705,株式会社ヴィア・ホールディングス,79180,7918
E00707,株式会社学研ホールディングス,94700,9470
E00708,光ビジネスフォーム株式会社,39480,3948
E00709,株式会社文溪堂,94710,9471
E00710,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,79210,7921
E00711,株式会社光陽社,79460,7946
E00712,三光産業株式会社,79220,7922
E00713,トーイン株式会社,79230,7923
E00714,朝日印刷株式会社,39510,3951
E00715,株式会社マツモト,79010,7901
E00716,株式会社プロネクサス,78930,7893
E00717,株式会社ゼンリン,94740,9474
E00719,サンメッセ株式会社,78830,7883
E00720,竹田ｉＰホールディングス株式会社,78750,7875
E00721,株式会社昭文社ホールディングス,94750,9475
E00722,福島印刷株式会社,78700,7870
E00723,株式会社中央経済社ホールディングス,94760,9476
E00724,株式会社広済堂ホールディングス,78680,7868
E00725,株式会社フジシールインターナショナル,78640,7864
E00728,ＳＥホールディングス・アンド・インキュベーションズ株式会社,94780,9478
E00730,セキ株式会社,78570,7857
E00733,株式会社インプレスホールディングス,94790,9479
E00734,株式会社平賀,78630,7863
E00735,総合商研株式会社,78500,7850
E00736,スターツ出版株式会社,78490,7849
E00744,株式会社　サイネックス,23760,2376
E00745,株式会社ウェッジホールディングス,23880,2388
E00748,株式会社ウイルコホールディングス,78310,7831
E00751,株式会社レゾナック・ホールディングス,40040,4004
E00752,住友化学株式会社,40050,4005
E00755,住友精化株式会社,40080,4008
E00759,日産化学株式会社,40210,4021
E00760,ラサ工業株式会社,40220,4022
E00761,株式会社クレハ,40230,4023
E00762,多木化学株式会社,40250,4025
E00763,神島化学工業株式会社,40260,4026
E00764,テイカ株式会社,40270,4027
E00765,石原産業株式会社,40280,4028
E00766,日本曹達株式会社,40410,4041
E00767,東ソー株式会社,40420,4042
E00768,株式会社トクヤマ,40430,4043
E00769,セントラル硝子株式会社,40440,4044
E00770,東亞合成株式会社,40450,4045
E00771,株式会社大阪ソーダ,40460,4046
E00772,関東電化工業株式会社,40470,4047
E00774,デンカ株式会社,40610,4061
E00775,イビデン株式会社,40620,4062
E00776,信越化学工業株式会社,40630,4063
E00777,日本カーバイド工業株式会社,40640,4064
E00780,堺化学工業株式会社,40780,4078
E00781,高圧ガス工業株式会社,40970,4097
E00783,日本酸素ホールディングス株式会社,40910,4091
E00784,日本化学工業株式会社,40920,4092
E00786,日本化学産業株式会社,40940,4094
E00787,東邦アセチレン株式会社,40930,4093
E00789,片倉コープアグリ株式会社,40310,4031
E00791,丸尾カルシウム株式会社,41020,4102
E00792,エア・ウォーター株式会社,40880,4088
E00794,小池酸素工業株式会社,61370,6137
E00796,チタン工業株式会社,40980,4098
E00804,石原ケミカル株式会社,44620,4462
E00805,ステラケミファ株式会社,41090,4109
E00806,第一稀元素化学工業株式会社,40820,4082
E00808,三菱ケミカルグループ株式会社,41880,4188
E00809,保土谷化学工業株式会社,41120,4112
E00810,田岡化学工業株式会社,41130,4113
E00811,株式会社日本触媒,41140,4114
E00815,三菱瓦斯化学株式会社,41820,4182
E00816,協和キリン株式会社,41510,4151
E00818,株式会社ダイセル,42020,4202
E00819,住友ベークライト株式会社,42030,4203
E00820,積水化学工業株式会社,42040,4204
E00821,日本ゼオン株式会社,42050,4205
E00823,タキロンシーアイ株式会社,42150,4215
E00824,アイカ工業株式会社,42060,4206
E00828,クミアイ化学工業株式会社,49960,4996
E00829,フクビ化学工業株式会社,78710,7871
E00830,旭有機材株式会社,42160,4216
E00832,藤倉化成株式会社,46200,4620
E00834,大倉工業株式会社,42210,4221
E00836,日本化薬株式会社,42720,4272
E00837,広栄化学株式会社,43670,4367
E00838,リケンテクノス株式会社,42200,4220
E00839,児玉化学工業株式会社,42220,4222
E00840,三井化学株式会社,41830,4183
E00841,四国化成ホールディングス株式会社,40990,4099
E00842,戸田工業株式会社,41000,4100
E00845,積水化成品工業株式会社,42280,4228
E00846,オーナンバ株式会社,58160,5816
E00848,有機合成薬品工業株式会社,45310,4531
E00850,細谷火工株式会社,42740,4274
E00852,日本精化株式会社,43620,4362
E00854,東京応化工業株式会社,41860,4186
E00855,大阪有機化学工業株式会社,41870,4187
E00857,天馬株式会社,79580,7958
E00858,株式会社ジェイエスピー,79420,7942
E00860,アグロ　カネショウ株式会社,49550,4955
E00861,前澤化成工業株式会社,79250,7925
E00863,丸東産業株式会社,78940,7894
E00866,三光合成株式会社,78880,7888
E00867,ヤマト・インダストリー株式会社,78860,7886
E00868,ケミプロ化成株式会社,49600,4960
E00871,株式会社タカギセイコー,42420,4242
E00872,帝人株式会社,34010,3401
E00873,東レ株式会社,34020,3402
E00876,株式会社クラレ,34050,3405
E00877,旭化成株式会社,34070,3407
E00878,株式会社ＡＤＥＫＡ,44010,4401
E00879,株式会社カネカ,41180,4118
E00880,日油株式会社,44030,4403
E00881,ミヨシ油脂株式会社,44040,4404
E00882,新日本理化株式会社,44060,4406
E00883,花王株式会社,44520,4452
E00884,三洋化成工業株式会社,44710,4471
E00885,第一工業製薬株式会社,44610,4461
E00886,東邦化学工業株式会社,44090,4409
E00887,日華化学株式会社,44630,4463
E00888,松本油脂製薬株式会社,43650,4365
E00890,株式会社ニイタカ,44650,4465
E00891,大日本塗料株式会社,46110,4611
E00892,日本ペイントホールディングス株式会社,46120,4612
E00893,関西ペイント株式会社,46130,4613
E00895,神東塗料株式会社,46150,4615
E00896,川上塗料株式会社,46160,4616
E00897,中国塗料株式会社,46170,4617
E00898,日本パーカライジング株式会社,40950,4095
E00899,日本ピグメント株式会社,41190,4119
E00900,日本特殊塗料株式会社,46190,4619
E00901,ＤＩＣ株式会社,46310,4631
E00902,大日精化工業株式会社,41160,4116
E00903,ａｒｔｉｅｎｃｅ株式会社,46340,4634
E00904,東京インキ株式会社,46350,4635
E00905,サカタインクス株式会社,46330,4633
E00906,スガイ化学工業株式会社,41200,4120
E00909,株式会社アサヒペン,46230,4623
E00910,イサム塗料株式会社,46240,4624
E00911,アトミクス株式会社,46250,4625
E00912,菊水化学工業株式会社,79530,7953
E00913,太陽ホールディングス株式会社,46260,4626
E00915,ナトコ株式会社,46270,4627
E00916,エスケー化研株式会社,46280,4628
E00917,大伸化学株式会社,46290,4629
E00919,武田薬品工業株式会社,45020,4502
E00920,アステラス製薬株式会社,45030,4503
E00922,住友ファーマ株式会社,45060,4506
E00923,塩野義製薬株式会社,45070,4507
E00926,株式会社テーオーシー,88410,8841
E00928,わかもと製薬株式会社,45120,4512
E00931,日本新薬株式会社,45160,4516
E00932,中外製薬株式会社,45190,4519
E00934,鳥居薬品株式会社,45510,4551
E00935,科研製薬株式会社,45210,4521
E00937,日本農薬株式会社,49970,4997
E00939,エーザイ株式会社,45230,4523
E00941,森下仁丹株式会社,45240,4524
E00942,ロート製薬株式会社,45270,4527
E00944,久光製薬株式会社,45300,4530
E00945,小野薬品工業株式会社,45280,4528
E00947,持田製薬株式会社,45340,4534
E00948,ゼリア新薬工業株式会社,45590,4559
E00949,参天製薬株式会社,45360,4536
E00952,理研ビタミン株式会社,45260,4526
E00953,扶桑薬品工業株式会社,45380,4538
E00957,日本ケミファ株式会社,45390,4539
E00961,栄研化学株式会社,45490,4549
E00962,キッセイ薬品工業株式会社,45470,4547
E00967,Ｈ．Ｕ．グループホールディングス株式会社,45440,4544
E00970,生化学工業株式会社,45480,4548
E00973,ＪＣＲファーマ株式会社,45520,4552
E00974,東和薬品株式会社,45530,4553
E00975,富士製薬工業株式会社,45540,4554
E00977,株式会社カイノス,45560,4556
E00981,そーせいグループ株式会社,45650,4565
E00984,第一三共株式会社,45680,4568
E00985,杏林製薬株式会社,45690,4569
E00986,株式会社免疫生物研究所,45700,4570
E00987,カルナバイオサイエンス株式会社,45720,4572
E00988,富士フイルムホールディングス株式会社,49010,4901
E00989,コニカミノルタ株式会社,49020,4902
E00990,株式会社資生堂,49110,4911
E00991,ライオン株式会社,49120,4912
E00993,高砂香料工業株式会社,49140,4914
E00994,共和レザー株式会社,35530,3553
E00995,東リ株式会社,79710,7971
E00996,ダイニック株式会社,35510,3551
E01000,ニチバン株式会社,42180,4218
E01001,北興化学工業株式会社,49920,4992
E01002,ＵＢＥ株式会社,42080,4208
E01003,ＪＳＲ株式会社,41850,4185
E01005,日本精蝋株式会社,50100,5010
E01006,川口化学工業株式会社,43610,4361
E01007,フマキラー株式会社,49980,4998
E01008,積水樹脂株式会社,42120,4212
E01009,サンケイ化学株式会社,49950,4995
E01011,株式会社寺岡製作所,49870,4987
E01014,ダイトーケミックス株式会社,43660,4366
E01015,アース製薬株式会社,49850,4985
E01018,株式会社ツムラ,45400,4540
E01019,エステー株式会社,49510,4951
E01020,ハリマ化成グループ株式会社,44100,4410
E01024,タイガースポリマー株式会社,42310,4231
E01027,株式会社マンダム,49170,4917
E01028,伊勢化学工業株式会社,41070,4107
E01031,旭化学工業株式会社,79280,7928
E01032,ムトー精工株式会社,79270,7927
E01033,ヤスハラケミカル株式会社,49570,4957
E01034,長谷川香料株式会社,49580,4958
E01035,株式会社アイビー化粧品,49180,4918
E01039,株式会社ミルボン,49190,4919
E01040,株式会社日本色材工業研究所,49200,4920
E01044,株式会社Ｔ＆Ｋ　ＴＯＫＡ,46360,4636
E01045,上村工業株式会社,49660,4966
E01046,株式会社ファンケル,49210,4921
E01047,小林製薬株式会社,49670,4967
E01048,荒川化学工業株式会社,49680,4968
E01049,株式会社コーセー,49220,4922
E01050,株式会社田中化学研究所,40800,4080
E01051,東洋合成工業株式会社,49700,4970
E01052,株式会社サンエー化研,42340,4234
E01053,萩原工業株式会社,78560,7856
E01054,メック株式会社,49710,4971
E01055,綜研化学株式会社,49720,4972
E01056,扶桑化学工業株式会社,43680,4368
E01057,株式会社ソフト９９コーポレーション,44640,4464
E01058,大成ラミック株式会社,49940,4994
E01059,コタ株式会社,49230,4923
E01060,日本高純度化学株式会社,49730,4973
E01061,ウルトラファブリックス・ホールディングス株式会社,42350,4235
E01063,株式会社ハーバー研究所,49250,4925
E01064,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,29270,2927
E01065,株式会社ＪＣＵ,49750,4975
E01066,株式会社アテクト,42410,4241
E01068,東洋ドライルーブ株式会社,49760,4976
E01074,株式会社ミツウロコグループホールディングス,81310,8131
E01075,シナネンホールディングス株式会社,81320,8132
E01076,富士興産株式会社,50090,5009
E01077,ニチレキ株式会社,50110,5011
E01080,ユシロ化学工業株式会社,50130,5013
E01082,富士石油株式会社,50170,5017
E01083,株式会社ＭＯＲＥＳＣＯ,50180,5018
E01084,出光興産株式会社,50190,5019
E01085,横浜ゴム株式会社,51010,5101
E01086,株式会社ブリヂストン,51080,5108
E01088,昭和ホールディングス株式会社,51030,5103
E01090,ＴＯＹＯ　ＴＩＲＥ株式会社,51050,5105
E01092,バンドー化学株式会社,51950,5195
E01094,藤倉コンポジット株式会社,51210,5121
E01095,相模ゴム工業株式会社,51940,5194
E01096,アキレス株式会社,51420,5142
E01097,住友理工株式会社,51910,5191
E01098,三ツ星ベルト株式会社,51920,5192
E01100,オカモト株式会社,51220,5122
E01103,ロンシール工業株式会社,42240,4224
E01107,櫻護謨株式会社,51890,5189
E01108,豊田合成株式会社,72820,7282
E01109,不二ラテックス株式会社,51990,5199
E01110,住友ゴム工業株式会社,51100,5110
E01111,ニッタ株式会社,51860,5186
E01112,西川ゴム工業株式会社,51610,5161
E01113,株式会社フコク,51850,5185
E01114,株式会社ニチリン,51840,5184
E01115,株式会社朝日ラバー,51620,5162
E01118,株式会社リーガルコーポレーション,79380,7938
E01120,株式会社ニッピ,79320,7932
E01121,日本板硝子株式会社,52020,5202
E01122,ＡＧＣ株式会社,52010,5201
E01123,石塚硝子株式会社,52040,5204
E01124,ＨＯＹＡ株式会社,77410,7741
E01126,日本山村硝子株式会社,52100,5210
E01127,住友大阪セメント株式会社,52320,5232
E01130,太平洋セメント株式会社,52330,5233
E01131,日本坩堝株式会社,53550,5355
E01135,ニッコー株式会社,53430,5343
E01136,日本特殊陶業株式会社,53340,5334
E01137,日本碍子株式会社,53330,5333
E01138,ＴＯＴＯ株式会社,53320,5332
E01139,株式会社ノリタケカンパニーリミテド,53310,5331
E01140,日本カーボン株式会社,53020,5302
E01141,ダントーホールディングス株式会社,53370,5337
E01142,日本コンクリート工業株式会社,52690,5269
E01143,旭コンクリート工業株式会社,52680,5268
E01146,品川リフラクトリーズ株式会社,53510,5351
E01147,株式会社　ヨータイ,53570,5357
